Manufacturer,Model,UnitSales,Price,Horsepower,mpg,PPFrating,FuelCapacity,CurbWeight,GroupPPF
Chevrolet,Metro,21.86,9.235,55,45,23.27627233,10.3,1.895,SundayDrivers
Hyundai,Accent,41.18,9.699,92,31,36.67228358,11.9,2.24,SundayDrivers
Saturn,SL,80.62,10.685,100,33,39.98642475,12.1,2.332,SundayDrivers
Saturn,SC,24.55,12.535,100,33,40.70007242,12.1,2.367,SundayDrivers
Honda,Civic,199.69,12.885,106,32,42.87909734,11.9,2.339,SundayDrivers
Ford,Focus,175.67,12.315,107,30,43.11713201,13.2,2.564,SundayDrivers
Ford,Escort,70.23,12.07,110,30,44.08370946,12.7,2.468,SundayDrivers
Mitsubishi,Mirage,26.23,13.987,113,30,45.83218056,13.2,2.25,SundayDrivers
Chevrolet,Cavalier,145.52,13.26,115,27,46.36334747,14.3,2.676,SundayDrivers
Volkswagen,Golf,9.76,14.9,115,26,46.94387676,14.5,2.767,SundayDrivers
Volkswagen,Beetle,49.46,15.9,115,26,47.32963226,14.5,2.769,SundayDrivers
Ford,Ranger,220.65,12.05,119,23,47.38953131,20,3.086,SundayDrivers
Volkswagen,Jetta,83.72,16.7,115,26,47.63823666,14.5,2.853,SundayDrivers
Volkswagen,GTI,5.6,17.5,115,26,47.94684106,14.6,2.762,SundayDrivers
Toyota,Corolla,142.54,13.108,120,33,47.96897242,13.2,2.42,SundayDrivers
Chevrolet,Prizm,32.3,13.96,120,33,48.2976361,13.2,2.398,SundayDrivers
Jeep,Wrangler,55.56,14.46,120,17,48.67289791,19,3.045,SundayDrivers
Volkswagen,Cabrio,9.57,19.99,115,26,48.90737225,13.7,3.079,SundayDrivers
Dodge,Dakota,111.31,16.98,120,19,49.64500177,22,3.557,SundayDrivers
Saturn,SW,5.22,14.29,124,31,49.86577367,12.1,2.452,SundayDrivers
Nissan,Sentra,42.64,13.499,126,30,50.24197791,13.2,2.593,SundayDrivers
Mercury,Mystique,14.35,16.24,125,28,50.99774761,15,2.769,SundayDrivers
Mercury,Cougar,26.53,16.54,125,30,51.11347426,16,2.892,SundayDrivers
Toyota,RAV4,25.11,16.888,127,27,51.95510887,15.3,2.668,SundayDrivers
Dodge,Neon,76.03,12.64,132,29,52.08489875,12.5,2.567,SundayDrivers
Plymouth,Neon,32.73,12.64,132,29,52.08489875,12.5,2.559,SundayDrivers
Plymouth,Breeze,5.24,16.08,132,27,53.41189767,16,2.942,SundayDrivers
Chrysler,Cirrus,32.31,16.48,132,27,53.56619987,16,2.911,SundayDrivers
Honda,Accord,230.9,15.35,135,27,54.26954829,17.1,2.932,SundayDrivers
Toyota,Camry,247.99,17.518,133,27,54.37241965,18.5,2.998,SundayDrivers
Hyundai,Elantra,66.69,11.799,140,27,54.59004516,14.5,2.626,SundayDrivers
Saturn,LS,49.99,15.01,137,28,54.81972825,13.1,2.91,SundayDrivers
Toyota,Tacoma,84.09,11.528,142,23,55.29711658,15.1,2.58,SundayDrivers
Saturn,LW,8.47,18.835,137,27,56.29524304,13.1,3.075,SundayDrivers
Toyota,Celica,33.27,16.875,140,31,56.49603034,14.5,2.425,SundayDrivers
Acura,Integra,16.92,21.5,140,28,58.28014952,13.2,2.639,SundayDrivers
Mitsubishi,Galant,55.62,17.357,145,25,58.60677292,16.3,2.945,SundayDrivers
Hyundai,Sonata,29.45,14.999,148,25,58.758249,17.2,3.072,SundayDrivers
Honda,CR-V,73.2,20.55,146,24,60.08796662,15.3,3.219,SundayDrivers
Oldsmobile,Alero,80.26,18.27,150,27,60.72744693,15,2.958,Need4Speed
Oldsmobile,Cutlass,1.11,18.145,150,25,60.86161155,15.2,3.102,Need4Speed
Plymouth,Voyager,24.16,18.85,150,24,60.95118512,20,3.528,Need4Speed
Dodge,Caravan,181.75,19.565,150,24,61.22700031,20,3.533,Need4Speed
Volkswagen,Passat,51.1,21.2,150,27,61.70138136,16.4,3.043,Need4Speed
Pontiac,Sunfire,51.65,21.61,150,27,62.0158703,15,2.906,Need4Speed
